origem,destino,tipo,peso_sugerido,numero_issue
freddi-kit,BeerPoldet,issue,2,1050
freddi-kit,BeerPoldet,issue,2,1050
freddi-kit,BeerPoldet,issue,2,1050
freddi-kit,BeerPoldet,issue,2,1050
freddi-kit,BeerPoldet,issue,2,1050
freddi-kit,BeerPoldet,issue,2,1050
oscar-odon,BeerPoldet,issue,2,1050
alexdmotoc,BeerPoldet,issue,2,1050
freddi-kit,BeerPoldet,issue,2,1050
oscar-odon,BeerPoldet,issue,2,1050
yonaskolb,BeerPoldet,issue,2,1050
amatig,BeerPoldet,issue,2,1050
freddi-kit,d-date,pr,2,1049
freddi-kit,d-date,pr,2,1049
yonaskolb,d-date,pr,2,1049
yonaskolb,d-date,issue,2,1048
freddi-kit,d-date,issue,2,1048
freddi-kit,d-date,issue,2,1048
freddi-kit,d-date,issue,2,1048
yonaskolb,tinder-maxwellelliott,issue,2,1047
yonaskolb,yevgenPaykey,issue,2,1046
freddi-kit,takoikatakotako,issue,2,1045
freddi-kit,takoikatakotako,issue,2,1045
freddi-kit,takoikatakotako,issue,2,1045
freddi-kit,takoikatakotako,issue,2,1045
AlanWestbrook,mariohahn,issue,2,1044
yonaskolb,mariohahn,issue,2,1044
mat1th,ck2shine,issue,2,1042
teameh,ck2shine,issue,2,1042
yonaskolb,ck2shine,issue,2,1042
mat1th,ck2shine,issue,2,1042
yonaskolb,ck2shine,issue,2,1042
yonaskolb,ck2shine,issue,2,1042
mat1th,ck2shine,issue,2,1042
mat1th,ck2shine,issue,2,1042
freddi-kit,dalemyers,pr,2,1040
freddi-kit,JakubBednar,pr,2,1039
jakubkiermasz-zd,JakubBednar,pr,2,1039
jakubkiermasz-zd,JakubBednar,pr,2,1039
yonaskolb,JakubBednar,pr,2,1039
freddi-kit,JakubBednar,pr,2,1039
jakubkiermasz-zd,JakubBednar,pr,2,1039
leogdion,RalfK92,issue,2,1034
yonaskolb,liamnichols,pr,2,1027
yonaskolb,liamnichols,pr,2,1027
yonaskolb,liamnichols,pr,2,1027
yonaskolb,liamnichols,pr,2,1027
jcolicchio,liamnichols,issue,2,1025
yonaskolb,thii,pr,2,1024
yonaskolb,thii,pr,2,1024
yonaskolb,fjcaetano,issue,2,1016
yonaskolb,FranzBusch,pr,2,1015
yonaskolb,FranzBusch,pr,2,1015
yonaskolb,Andre113,pr,2,1013
yonaskolb,Andre113,pr,2,1013
yonaskolb,pouty18,issue,2,1005
yonaskolb,mrabiciu,pr,2,1003
yonaskolb,daltonclaybrook,issue,2,1002
yonaskolb,raptorxcz,issue,2,1001
NrmeenTomoum,sassiwalid,issue,2,1000
riley-kohler,robinmayerhofer,issue,2,997
yonaskolb,elliottwilliams,pr,2,995
